date;campaign_id;campaign_name;campaign_objective;adset_id;adset_name;ad_id;ad_name;ad_format;creative_type;platform;impressions;clicks;spend;cpc;cpm;ctr;conversions;leads;revenue;roas;reach;frequency;video_views
2024-03-05;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;11141;221;55,45;0,25;4,98;1,986;13;0;1261,00;22,74;7888;1,60;3572
2024-03-06;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;15002;290;48,25;0,17;3,22;1,937;15;0;1455,00;30,16;10503;1,29;4673
2024-03-07;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;11337;196;64,82;0,33;5,72;1,736;11;0;1067,00;16,46;9399;1,50;3087
2024-03-08;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;16823;274;72,23;0,26;4,29;1,631;14;0;1358,00;18,80;12424;1,53;5633
2024-03-09;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;17266;306;61,55;0,20;3,56;1,772;17;0;1649,00;26,79;12527;1,57;4645
2024-03-10;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;17774;336;94,64;0,28;5,32;1,895;17;0;1649,00;17,42;12774;1,29;5584
2024-03-11;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;19283;367;90,43;0,25;4,69;1,907;17;0;1649,00;18,24;14628;1,44;5091
2024-03-12;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;21376;381;97,55;0,26;4,56;1,785;20;0;1940,00;19,89;17162;1,24;7120
2024-03-13;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;25846;478;115,23;0,24;4,46;1,852;22;0;2134,00;18,52;20188;1,65;7241
2024-03-14;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;17271;336;100,24;0,30;5,80;1,951;15;0;1455,00;14,52;13632;1,35;5037
2024-03-15;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;21848;427;117,47;0,28;5,38;1,956;27;0;2619,00;22,30;15111;1,56;7274
2024-03-16;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;18981;338;118,29;0,35;6,23;1,781;21;0;2037,00;17,22;15773;1,49;6229
2024-03-17;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;27179;494;116,31;0,24;4,28;1,821;32;0;3104,00;26,69;20139;1,54;8646
2024-03-18;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;23755;400;106,82;0,27;4,50;1,687;21;0;2037,00;19,07;16840;1,52;6818
2024-03-19;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;16830;317;97,13;0,31;5,77;1,889;14;0;1358,00;13,98;12367;1,35;4693
2024-03-20;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;22743;444;86,29;0,19;3,79;1,954;27;0;2619,00;30,35;18869;1,33;6493
2024-03-21;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;21556;409;74,80;0,18;3,47;1,901;25;0;2425,00;32,42;15078;1,62;6367
2024-03-22;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;13589;224;59,60;0,27;4,39;1,655;12;0;1164,00;19,53;11187;1,19;4166
2024-03-23;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;11996;199;70,49;0,35;5,88;1,663;10;0;970,00;13,76;8623;1,30;3824
2024-03-24;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;15266;247;52,11;0,21;3,41;1,619;11;0;1067,00;20,48;10691;1,42;4105
2024-03-25;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;9593;186;55,18;0,30;5,75;1,947;10;0;970,00;17,58;7487;1,25;2922
2024-03-26;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;12365;228;42,79;0,19;3,46;1,846;14;0;1358,00;31,74;10308;1,18;3360
2024-03-27;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;9308;163;46,92;0,29;5,04;1,755;9;0;873,00;18,61;6314;1,16;2975
2024-03-28;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;10939;210;55,96;0,27;5,12;1,922;11;0;1067,00;19,07;7355;1,36;3397
2024-03-29;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;8861;154;39,37;0,26;4,44;1,740;9;0;873,00;22,17;6542;1,38;2807
2024-03-30;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;11056;198;50,19;0,25;4,54;1,793;10;0;970,00;19,33;7938;1,53;3114
2024-03-31;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;10071;184;51,97;0,28;5,16;1,830;10;0;970,00;18,66;8189;1,31;2790
2024-04-01;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4790;90;20,93;0,23;4,37;1,887;2;0;194,00;9,27;3235;1,13;1512
2024-04-02;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5495;98;21,26;0,22;3,87;1,796;3;0;291,00;13,69;4026;1,17;1546
2024-04-03;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4703;94;20,61;0,22;4,38;2,015;3;0;291,00;14,12;3333;1,32;1326
2024-04-04;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;3390;64;18,89;0,30;5,57;1,913;1;0;97,00;5,13;2406;1,24;1038
2024-04-05;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5850;100;23,63;0,24;4,04;1,712;3;0;291,00;12,31;4149;1,29;1954
2024-04-06;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5217;93;24,98;0,27;4,79;1,796;3;0;291,00;11,65;3892;1,44;1505
2024-04-07;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5619;90;22,86;0,25;4,07;1,612;3;0;291,00;12,73;3861;1,44;1811
2024-04-08;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4042;71;23,14;0,33;5,72;1,764;2;0;194,00;8,38;2995;1,47;1195
2024-04-09;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5952;109;23,03;0,21;3,87;1,847;4;0;388,00;16,85;4598;1,65;1684
2024-04-10;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3826;67;17,00;0,25;4,44;1,760;2;0;194,00;11,41;2684;1,38;1204
2024-04-11;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5088;97;23,80;0,25;4,68;1,924;3;0;291,00;12,23;3747;1,49;1542
2024-04-12;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;6229;103;19,14;0,19;3,07;1,656;3;0;291,00;15,20;4603;1,54;1854
2024-04-13;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4496;79;21,80;0,28;4,85;1,773;2;0;194,00;8,90;3455;1,62;1195
2024-04-14;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5695;90;21,63;0,24;3,80;1,593;3;0;291,00;13,45;4540;1,58;1575
2024-04-15;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4392;77;23,16;0,30;5,27;1,772;3;0;291,00;12,56;3173;1,66;1264
2024-04-16;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5465;93;22,44;0,24;4,11;1,709;3;0;291,00;12,97;4054;1,58;1566
2024-04-17;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5338;107;19,80;0,19;3,71;2,011;3;0;291,00;14,70;3575;1,42;1608
2024-04-18;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4806;81;18,92;0,23;3,94;1,699;2;0;194,00;10,25;3277;1,28;1605
2024-04-19;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;3957;72;21,40;0,30;5,41;1,823;2;0;194,00;9,07;2940;1,68;1078
2024-04-20;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5915;100;24,52;0,25;4,15;1,702;3;0;291,00;11,87;4390;1,67;1623
2024-04-21;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5330;86;19,15;0,22;3,59;1,614;3;0;291,00;15,20;4414;1,60;1601
2024-04-22;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4397;88;22,65;0,26;5,15;2,016;3;0;291,00;12,85;3175;1,20;1335
2024-04-23;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4493;84;19,26;0,23;4,29;1,885;3;0;291,00;15,11;3000;1,25;1427
2024-04-24;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5490;106;22,46;0,21;4,09;1,939;4;0;388,00;17,28;3748;1,40;1830
2024-04-25;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4068;80;17,87;0,22;4,39;1,977;2;0;194,00;10,86;2739;1,20;1302
2024-04-26;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;4594;79;17,48;0,22;3,81;1,726;2;0;194,00;11,10;3550;1,42;1506
2024-04-27;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5438;102;21,16;0,21;3,89;1,880;3;0;291,00;13,75;4013;1,25;1474
2024-04-28;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;6165;121;24,48;0,20;3,97;1,974;3;0;291,00;11,89;4466;1,57;1818
2024-04-29;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4463;74;17,85;0,24;4,00;1,660;2;0;194,00;10,87;3345;1,33;1365
2024-04-30;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4653;91;20,05;0,22;4,31;1,972;3;0;291,00;14,51;3132;1,28;1545
2024-05-01;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5444;96;24,41;0,25;4,48;1,781;3;0;291,00;11,92;3697;1,68;1586
2024-05-02;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;4434;86;17,88;0,21;4,03;1,943;2;0;194,00;10,85;3653;1,12;1408
2024-05-03;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;6504;125;21,11;0,17;3,25;1,930;3;0;291,00;13,78;5086;1,23;2054
2024-05-04;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;6491;120;26,18;0,22;4,03;1,863;3;0;291,00;11,12;5139;1,37;1755
2024-05-05;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5135;93;19,93;0,21;3,88;1,817;3;0;291,00;14,60;4156;1,42;1450
2024-05-06;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5518;95;23,86;0,25;4,32;1,730;2;0;194,00;8,13;4390;1,66;1546
2024-05-07;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;instagram;5257;95;23,59;0,25;4,49;1,825;2;0;194,00;8,22;3977;1,34;1559
2024-05-08;CAMP001;Finanças do Zero | Perpétuo | Conversão;CONVERSIONS;AS001;Público 25-35 | Interesses Finanças;AD001;Video_Depoimento_Joao_v1;Video;Depoimento;facebook;5490;109;23,45;0,22;4,27;1,990;3;0;291,00;12,41;4235;1,25;1822
