date;campaign_id;campaign_name;campaign_type;adgroup_id;adgroup_name;keywords;product;impressions;clicks;spend;cpc;cpm;ctr;conversions;revenue;roas;quality_score;view_rate;avg_position
2024-02-12;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3551;145;31,62;0,22;8,90;4,106;7;679,00;21,47;8;;2,00
2024-02-13;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2399;109;29,84;0,27;12,44;4,573;3;291,00;9,75;8;;1,50
2024-02-14;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3275;151;29,32;0,19;8,95;4,620;7;679,00;23,16;10;;2,10
2024-02-15;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3058;153;28,76;0,19;9,40;5,003;7;679,00;23,61;9;;1,80
2024-02-16;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2694;126;30,00;0,24;11,14;4,679;4;388,00;12,93;9;;1,80
2024-02-17;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2573;102;39,95;0,39;15,53;4,002;4;388,00;9,71;6;;2,30
2024-02-18;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2354;105;37,96;0,36;16,13;4,463;3;291,00;7,67;7;;1,60
2024-02-19;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2589;117;25,87;0,22;9,99;4,537;4;388,00;15,00;7;;1,50
2024-02-20;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2207;108;30,83;0,29;13,97;4,937;5;485,00;15,73;8;;1,40
2024-02-21;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2731;113;27,38;0,24;10,03;4,162;6;582,00;21,26;7;;2,30
2024-02-22;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2425;108;29,92;0,28;12,34;4,455;5;485,00;16,21;8;;2,10
2024-02-23;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2334;109;26,32;0,24;11,28;4,705;5;485,00;18,43;7;;1,50
2024-02-24;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2729;117;29,22;0,25;10,71;4,316;4;388,00;13,28;8;;1,60
2024-02-25;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3091;152;29,09;0,19;9,41;4,946;5;485,00;16,67;6;;1,80
2024-02-26;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2186;108;28,82;0,27;13,19;4,972;4;388,00;13,46;9;;2,10
2024-02-27;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;1916;81;28,26;0,35;14,75;4,229;3;291,00;10,30;7;;1,80
2024-02-28;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3672;158;31,20;0,20;8,50;4,311;6;582,00;18,65;7;;1,40
2024-02-29;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3378;157;28,35;0,18;8,39;4,669;6;582,00;20,53;8;;1,60
2024-03-01;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;5821;289;66,77;0,23;11,47;4,972;18;1746,00;26,15;8;;1,90
2024-03-02;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6809;294;54,57;0,19;8,01;4,319;19;1843,00;33,77;10;;1,90
2024-03-03;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;8011;373;74,30;0,20;9,28;4,658;28;2716,00;36,55;7;;1,90
2024-03-04;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6255;250;76,97;0,31;12,31;3,998;18;1746,00;22,68;7;;1,70
2024-03-05;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;8266;340;85,56;0,25;10,35;4,113;26;2522,00;29,48;10;;1,30
2024-03-06;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6023;267;104,98;0,39;17,43;4,440;19;1843,00;17,56;9;;1,40
2024-03-07;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6414;317;88,27;0,28;13,76;4,949;23;2231,00;25,27;8;;2,00
2024-03-08;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6142;257;90,70;0,35;14,77;4,185;14;1358,00;14,97;9;;1,90
2024-03-09;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;13936;661;126,52;0,19;9,08;4,746;39;3783,00;29,90;7;;2,10
2024-03-10;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;13346;649;143,50;0,22;10,75;4,866;37;3589,00;25,01;9;;2,10
2024-03-11;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;10239;430;140,84;0,33;13,76;4,202;25;2425,00;17,22;9;;1,30
2024-03-12;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;13573;612;137,69;0,22;10,14;4,512;40;3880,00;28,18;8;;1,50
2024-03-13;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;13639;587;177,43;0,30;13,01;4,310;40;3880,00;21,87;9;;2,10
2024-03-14;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;18513;771;163,72;0,21;8,84;4,169;55;5335,00;32,59;6;;2,30
2024-03-15;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;14363;654;201,78;0,31;14,05;4,558;39;3783,00;18,75;9;;1,70
2024-03-16;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;12375;555;146,74;0,26;11,86;4,490;38;3686,00;25,12;6;;2,00
2024-03-17;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;19839;934;161,95;0,17;8,16;4,710;71;6887,00;42,53;8;;1,50
2024-03-18;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;12736;538;147,12;0,27;11,55;4,231;42;4074,00;27,69;8;;1,30
2024-03-19;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;12680;559;120,84;0,22;9,53;4,410;37;3589,00;29,70;6;;2,30
2024-03-20;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;13019;600;125,89;0,21;9,67;4,615;34;3298,00;26,20;8;;1,40
2024-03-21;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;11288;544;105,07;0,19;9,31;4,820;35;3395,00;32,31;6;;2,00
2024-03-22;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;8135;322;101,50;0,32;12,48;3,961;21;2037,00;20,07;10;;2,30
2024-03-23;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;7272;330;73,29;0,22;10,08;4,546;19;1843,00;25,15;9;;1,70
2024-03-24;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;11536;502;85,82;0,17;7,44;4,357;33;3201,00;37,30;10;;1,50
2024-03-25;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;5407;229;73,20;0,32;13,54;4,244;14;1358,00;18,55;8;;2,00
2024-03-26;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;8341;337;72,44;0,21;8,68;4,052;27;2619,00;36,15;10;;2,00
2024-03-27;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;5833;275;72,02;0,26;12,35;4,719;19;1843,00;25,59;9;;1,80
2024-03-28;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;5544;247;68,77;0,28;12,40;4,465;19;1843,00;26,80;9;;2,20
2024-03-29;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;4388;199;58,91;0,30;13,42;4,552;13;1261,00;21,41;9;;1,70
2024-03-30;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;6905;323;58,94;0,18;8,54;4,683;18;1746,00;29,62;6;;2,30
2024-03-31;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;4237;170;61,32;0,36;14,47;4,015;11;1067,00;17,40;8;;1,30
2024-04-01;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2148;100;28,95;0,29;13,48;4,678;3;291,00;10,05;7;;2,00
2024-04-02;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;1738;81;32,69;0,40;18,81;4,689;4;388,00;11,87;8;;2,20
2024-04-03;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3026;141;34,28;0,24;11,33;4,688;7;679,00;19,81;8;;2,00
2024-04-04;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2935;139;33,24;0,24;11,32;4,768;5;485,00;14,59;7;;1,60
2024-04-05;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3108;147;31,25;0,21;10,06;4,761;5;485,00;15,52;8;;1,40
2024-04-06;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2746;121;28,67;0,24;10,44;4,436;6;582,00;20,30;8;;1,40
2024-04-07;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2627;126;38,24;0,30;14,56;4,803;5;485,00;12,68;9;;2,10
2024-04-08;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2819;135;33,95;0,25;12,04;4,806;5;485,00;14,29;6;;2,10
2024-04-09;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3164;143;32,60;0,23;10,30;4,533;7;679,00;20,83;9;;1,60
2024-04-10;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3480;160;31,23;0,20;8,97;4,625;7;679,00;21,74;8;;1,60
2024-04-11;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2685;130;30,49;0,23;11,36;4,845;5;485,00;15,91;8;;2,10
2024-04-12;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2632;104;33,09;0,32;12,57;3,989;4;388,00;11,73;7;;1,50
2024-04-13;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2249;99;33,68;0,34;14,98;4,437;3;291,00;8,64;6;;1,40
2024-04-14;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;4349;209;41,04;0,20;9,44;4,825;11;1067,00;26,00;8;;1,70
2024-04-15;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2787;140;29,04;0,21;10,42;5,035;5;485,00;16,70;7;;1,30
2024-04-16;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2564;119;26,63;0,22;10,39;4,679;5;485,00;18,21;7;;2,00
2024-04-17;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3167;151;35,32;0,23;11,15;4,780;5;485,00;13,73;9;;1,50
2024-04-18;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3509;174;26,25;0,15;7,48;4,967;8;776,00;29,56;8;;1,90
2024-04-19;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2921;144;31,28;0,22;10,71;4,961;6;582,00;18,61;6;;2,00
2024-04-20;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2106;89;34,58;0,39;16,42;4,264;3;291,00;8,42;10;;1,60
2024-04-21;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;1800;76;32,05;0,42;17,81;4,228;2;194,00;6,05;10;;2,30
2024-04-22;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;4194;169;31,71;0,19;7,56;4,047;7;679,00;21,41;9;;1,60
2024-04-23;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2252;104;30,17;0,29;13,40;4,631;4;388,00;12,86;9;;1,90
2024-04-24;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3026;152;31,11;0,20;10,28;5,033;8;776,00;24,94;8;;1,60
2024-04-25;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2210;94;26,57;0,28;12,02;4,279;3;291,00;10,95;6;;2,30
2024-04-26;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2564;128;38,01;0,30;14,83;5,030;5;485,00;12,76;6;;2,00
2024-04-27;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3403;146;42,21;0,29;12,40;4,320;7;679,00;16,09;10;;1,50
2024-04-28;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2533;103;35,68;0,35;14,09;4,080;5;485,00;13,59;10;;1,60
2024-04-29;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2774;133;28,32;0,21;10,21;4,811;5;485,00;17,13;6;;2,30
2024-04-30;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2985;122;33,29;0,27;11,15;4,103;6;582,00;17,48;6;;2,30
2024-05-01;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2038;94;33,84;0,36;16,61;4,622;4;388,00;11,47;7;;1,40
2024-05-02;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2817;139;26,12;0,19;9,27;4,958;5;485,00;18,57;9;;2,30
2024-05-03;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3388;161;28,86;0,18;8,52;4,770;7;679,00;23,53;7;;1,60
2024-05-04;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3762;183;36,58;0,20;9,72;4,891;6;582,00;15,91;6;;1,50
2024-05-05;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3502;159;36,03;0,23;10,29;4,562;7;679,00;18,85;6;;2,20
2024-05-06;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2653;114;33,39;0,29;12,58;4,334;4;388,00;11,62;9;;1,70
2024-05-07;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2599;105;33,37;0,32;12,84;4,046;4;388,00;11,63;10;;2,00
2024-05-08;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2184;108;29,07;0,27;13,31;4,948;4;388,00;13,35;9;;1,90
2024-05-09;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3015;128;35,18;0,27;11,67;4,254;6;582,00;16,54;10;;2,10
2024-05-10;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2389;112;29,14;0,26;12,20;4,708;4;388,00;13,32;6;;1,60
2024-05-11;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;1855;86;33,03;0,38;17,81;4,688;3;291,00;8,81;9;;1,40
2024-05-12;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3790;156;32,19;0,21;8,49;4,132;8;776,00;24,11;9;;1,80
2024-05-13;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2331;114;34,80;0,31;14,93;4,903;4;388,00;11,15;9;;2,30
2024-05-14;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3242;133;32,58;0,24;10,05;4,116;5;485,00;14,89;6;;2,00
2024-05-15;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2851;126;26,83;0,21;9,41;4,445;5;485,00;18,08;6;;2,30
2024-05-16;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;1977;95;26,09;0,27;13,20;4,850;4;388,00;14,87;8;;1,80
2024-05-17;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2389;111;32,76;0,30;13,71;4,662;5;485,00;14,80;9;;1,80
2024-05-18;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2122;88;36,52;0,42;17,21;4,190;4;388,00;10,62;9;;1,50
2024-05-19;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3791;176;41,11;0,23;10,84;4,647;6;582,00;14,16;8;;2,10
2024-05-20;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3440;162;36,02;0,22;10,47;4,726;5;485,00;13,46;7;;1,60
2024-05-21;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3467;164;31,58;0,19;9,11;4,745;6;582,00;18,43;10;;2,10
2024-05-22;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;4227;180;31,04;0,17;7,34;4,277;8;776,00;25,00;10;;1,80
2024-05-23;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2893;134;37,81;0,28;13,07;4,649;5;485,00;12,83;9;;1,50
2024-05-24;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3566;155;26,94;0,17;7,55;4,371;8;776,00;28,80;8;;1,80
2024-05-25;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;3003;135;35,54;0,26;11,84;4,499;5;485,00;13,65;7;;1,90
2024-05-26;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2972;137;29,83;0,22;10,04;4,610;6;582,00;19,51;9;;1,30
2024-05-27;GCAMP001;Search | Finanças do Zero | Marca;Search;GAG001;Marca Lucas Martins;"lucas martins investimentos; carteira inteligente curso";Finanças do Zero;2553;119;30,69;0,26;12,02;4,692;4;388,00;12,64;10;;2,00
